CustomerID,Gender,Age,Tenure_Months,Contract,Internet_Service,Payment_Method,Monthly_Charges,Total_Charges,Support_Calls,Satisfaction_Score,Services_Count,Churn
CUST10001,Male,22,9,Month-to-month,DSL,Mailed check,115.77,1000.98,0,1.0,6,No
CUST10002,Male,59,47,Month-to-month,No,Credit card,135.23,6244.89,4,4.0,1,No
CUST10003,Male,52,70,Month-to-month,Fiber optic,Electronic check,139.74,9748.54,5,1.0,5,Yes
CUST10004,Male,41,63,Month-to-month,Fiber optic,Mailed check,85.47,5418.57,1,1.0,4,No
CUST10005,Female,40,20,One year,DSL,Credit card,87.64,1734.99,2,4.0,4,No
CUST10006,Female,63,33,Month-to-month,DSL,Credit card,123.98,3949.99,2,1.0,5,Yes
CUST10007,Female,22,39,Two year,DSL,Mailed check,60.88,2473.23,1,3.0,6,No
CUST10008,Male,54,18,Month-to-month,Fiber optic,Bank transfer,128.86,2069.48,3,1.0,1,Yes
CUST10009,Female,28,20,One year,Fiber optic,Electronic check,84.24,1640.16,7,4.0,1,Yes
CUST10010,Male,22,18,Month-to-month,DSL,Electronic check,35.06,569.06,4,4.0,1,No
CUST10011,Female,45,72,One year,Fiber optic,Mailed check,29.37,2129.46,3,3.0,5,No
CUST10012,Male,69,54,One year,Fiber optic,Credit card,129.46,7047.01,2,5.0,4,No
CUST10013,Female,56,61,Month-to-month,DSL,Bank transfer,27.22,1773.1,2,3.0,1,No
CUST10014,Male,58,59,Two year,DSL,Mailed check,56.48,3261.08,2,1.0,2,No
CUST10015,Male,56,70,Month-to-month,No,Mailed check,63.44,4499.46,4,1.0,4,Yes
CUST10016,Male,59,8,Month-to-month,Fiber optic,Electronic check,42.49,359.5,2,2.0,5,Yes
CUST10017,Female,45,64,One year,Fiber optic,Mailed check,60.81,3720.69,4,2.0,3,No
CUST10018,Female,24,5,Two year,No,Electronic check,116.55,772.8,1,2.0,6,No
CUST10019,Male,62,35,Month-to-month,Fiber optic,Electronic check,21.91,622.97,0,2.0,6,No
CUST10020,Female,41,43,Month-to-month,Fiber optic,Bank transfer,127.53,5525.74,2,3.0,5,Yes
CUST10021,Male,44,26,Two year,Fiber optic,Electronic check,131.35,3454.1,5,1.0,3,No
CUST10022,Male,37,11,One year,DSL,Electronic check,68.39,779.85,1,4.0,6,No
